hashtag,hashtag_count
#COVID19,4116
#coronavirus,2520
#Covid_19,2489
#lockdown,2359
#COVID,1341
#IndiaFightsCorona,1204
#covid19,1197
#COVID__19,949
#Covid19,905
#Corona,865
#stayhome,808
#StayHome,640
#Lockdown,621
#India,563
#corona,553
#Covid_19india,472
#staysafe,455
#KIITKISSFightsCovid19,436
#pandemic,397
#Lockdown4,370
#EidMubarak,353
#StayHomeStaySafe,339
#covid_19,332
#CoronaWarriors,328
#Coronavirus,326
#covid,289
#Lockdown5,282
#COVID19India,281
#PromoteStudentsSaveFuture,279
#Covid,272
#rgpv_spreading_corona_virus,269
#india,256
#lockdown2020,252
#Mumbai,243
#Maharashtra,242
#lockdownindia,241
#EidUlFitr,222
#quarantine,216
#IndiaFightsCOVID19,205
#CoronaVirus,204
#NewVirusComesStrikingStrong,202
#Assam,197
#StayAtHome,196
#lockdownextension,172
#CoronaRiskInJail,172
#StaySafe,167
#Delhi,162
#AssamCovidCount,162
#MigrantWorkers,161
#CoronaUpdatesInIndia,154
#IndiaFightsCoronavirus,154
#Odisha,147
#SavePrisoners_GrantParole,146
#Eid,136
#Lockdownextention,130
#CycloneAmphan,129
#Pakistan,128
#stayathome,128
#SocialDistancing,127
#COVID19Pandemic,126
#MannKiBaat,126
#eidmubarak2020,125
#Quarantine,117
#China,113
#love,113
#CoronaVirusUpdates,111
#Thailand,110
#BJP,109
#CoronavirusPandemic,107
#ZeeNewsSealKaro,103
#1YearofModi2,102
#Kashmir,101
#WHO,99
#SriLanka,96
#photography,96
#RahulGandhiVoiceOfIndia,95
#coronavirusinindia,93
#StayAtHomeSaveLives,92
#SonuSood,92
#socialdistancing,91
#BiharFightsCorona,90
#LockdownExtended,88
#CoronavirusIndia,88
#Unlock1,87
#eidmubarak,86
#earthquake,86
#Karnataka,83
#sundayvibes,83
#MigrantLabourers,82
#rgpv_spreading_coronavirus,82
#Nepal,82
#COVID2019,81
#nature,80
#lockdown4guidelines,79
#ZeeNews,78
#quarantinelife,78
#OdishaFightsCorona,77
#Bihar,77
#aviation,77
#CoronaUpdates,77
#CoronavirusLockdown,76
#Kerala,76
#EidAlFitr,75
#mondaythoughts,75
#instagram,73
#Hyderabad,73
#Amphan,73
#StayHomeSaveLives,72
#ZeeWarriors,72
#migrants,71
#life,70
