hashtag,hashtag_count
#COVID19,16627
#coronavirus,10246
#lockdown,10199
#COVID,6300
#Covid_19,6153
#StayHome,6078
#IndiaFightsCorona,5167
#Corona,4706
#COVID2019,4110
#stayhome,3942
#covid19,3464
#Covid19,3421
#corona,3275
#StayHomeStaySafe,2920
#Coronavirus,2693
#StayAtHome,2616
#Lockdown,2033
#Covid_19india,2025
#CoronaVirus,1797
#ThankYouCoronaWarriors,1752
#CoronavirusOutbreak,1743
#coronavirusindia,1725
#Lockdown21,1648
#covid_19,1434
#staysafe,1398
#StaySafe,1382
#India,1370
#COVID19Pandemic,1343
#21daylockdown,1337
#COVID__19,1259
#CoronaLockdown,1189
#COVID2019india,1183
#CoronaUpdate,1174
#CoronavirusPandemic,1146
#CoronavirusLockdown,1063
#StayHomeSaveLives,1049
#covid,1042
#Covid19India,995
#stayathome,950
#lockdownindia,902
#SocialDistancing,895
#quarantine,854
#india,845
#pandemic,843
#Covid,825
#PMCARES,801
#Quarantine,754
#StayHomeIndia,751
#Lockdown2,695
#IndiaFightsCoronavirus,667
#StayAtHomeSaveLives,644
#SriLanka,641
#ChineseVirus19,614
#COVID19outbreak,607
#QuarantineLife,594
#coronavirusinindia,573
#ChineseVirus,567
#China,562
#CoronaVirusUpdates,560
#Thailand,507
#lockdowneffect,501
#9,499
#CoronavirusOutbreakindia,494
#9pm9minutes,487
#21daysLockdown,481
#Pakistan,470
#21DaysChallenge,460
#Lockdownextention,460
#WorldHealthDay,447
#LockdownExtended,435
#socialdistancing,434
#coronaupdatesindia,424
#indiafightscorona,418
#covidindia,415
#CoronaUpdatesInIndia,413
#NarendraModi,403
#StayAtHomeAndStaySafe,402
#fightagainstcorona,400
#LockdownWithoutPlan,400
#Coronavirustruth,398
#Coronaindia,398
#Coronafighters,390
#TablighiJamaat,381
#CoronaVirusUpdate,377
#lockdownextension,375
#lka,374
#Delhi,374
#CoronaOutbreak,374
#LockDown,373
#COVID_19,370
#Kashmir,369
#Mumbai,359
