Date,Sentiment,Value
5/24/2020,Neutral,29.34
5/24/2020,Positive,48.5
5/25/2020,Negative,20.83
5/25/2020,Neutral,32.07
5/25/2020,Positive,47.09
5/26/2020,Negative,23.24
5/26/2020,Neutral,31.23
5/26/2020,Positive,45.53
5/27/2020,Negative,22.79
5/27/2020,Neutral,32.38
5/27/2020,Positive,44.83
5/28/2020,Negative,20.95
5/28/2020,Neutral,33.36
5/28/2020,Positive,45.7
5/29/2020,Negative,21.42
5/29/2020,Neutral,34.01
5/29/2020,Positive,44.57
5/30/2020,Negative,19.89
5/30/2020,Neutral,35.03
5/30/2020,Positive,45.08
5/31/2020,Negative,19.92
5/31/2020,Neutral,34.85
5/31/2020,Positive,45.23
6/1/2020,Negative,21.27
6/1/2020,Neutral,32.89
6/1/2020,Positive,45.84
6/2/2020,Negative,22.1
6/2/2020,Neutral,34.01
6/2/2020,Positive,43.9
6/3/2020,Negative,20.37
6/3/2020,Neutral,31.81
6/3/2020,Positive,47.82
6/4/2020,Negative,22.19
6/4/2020,Neutral,32.27
6/4/2020,Positive,45.54
6/5/2020,Negative,21.86
6/5/2020,Neutral,30.54
6/5/2020,Positive,47.61
6/6/2020,Negative,23.61
6/6/2020,Neutral,31.44
6/6/2020,Positive,44.95
6/7/2020,Negative,22.94
6/7/2020,Neutral,32.82
6/7/2020,Positive,44.24
6/8/2020,Negative,20.76
6/8/2020,Neutral,33.22
6/8/2020,Positive,46.02
6/9/2020,Negative,21.85
6/9/2020,Neutral,32.19
6/9/2020,Positive,45.96
6/10/2020,Negative,23.6
6/10/2020,Neutral,31.51
6/10/2020,Positive,44.89
6/11/2020,Negative,21.86
6/11/2020,Neutral,35.68
6/11/2020,Positive,42.46
6/12/2020,Negative,20.27
6/12/2020,Neutral,37.98
6/12/2020,Positive,41.75
6/13/2020,Negative,19.81
6/13/2020,Neutral,36.14
6/13/2020,Positive,44.05
6/14/2020,Negative,21.1
6/14/2020,Neutral,35.66
6/14/2020,Positive,43.24
