topic_data,topic_count
"case, people, india, virus, today, government, u, death, new_case, delhi",6968
"govt, home, people, one, fight, india, work, country, time, state",5319
"help, u, india, virus, people, fight, sir, many, china, due",4892
"india, people, patient, like, day, sir, delhi, time, please, virus",6558
"one, people, time, please, go, u, need, also, due, govt",6276
"people, india, virus, one, govt, please, day, state, country, time",7295
"people, u, please, sir, time, government, fight, app, one, due",6183
"time, day, india, virus, case, world, u, country, good, thank",4663
"u, day, may, india, due, get, people, n, sir, patient",8406
"u, due, fight, time, india, people, today, crisis, need, life",5887
