topic_data,topic_count
"case, people, india, virus, today, government, u, death, new_case, delhi",20824
"govt, home, people, one, fight, india, work, country, time, state",16647
"help, u, india, virus, people, fight, sir, many, china, due",15839
"india, people, patient, like, day, sir, delhi, time, please, virus",22961
"one, people, time, please, go, u, need, also, due, govt",22741
"people, india, virus, one, govt, please, day, state, country, time",26782
"people, u, please, sir, time, government, fight, app, one, due",21408
"time, day, india, virus, case, world, u, country, good, thank",17669
"u, day, may, india, due, get, people, n, sir, patient",24360
"u, due, fight, time, india, people, today, crisis, need, life",18184
