topic_data,topic_count
"case, people, india, virus, today, government, u, death, new_case, delhi",8741
"govt, home, people, one, fight, india, work, country, time, state",6703
"help, u, india, virus, people, fight, sir, many, china, due",6200
"india, people, patient, like, day, sir, delhi, time, please, virus",8562
"one, people, time, please, go, u, need, also, due, govt",8016
"people, india, virus, one, govt, please, day, state, country, time",9505
"people, u, please, sir, time, government, fight, app, one, due",8183
"time, day, india, virus, case, world, u, country, good, thank",6117
"u, day, may, india, due, get, people, n, sir, patient",9799
"u, due, fight, time, india, people, today, crisis, need, life",7150
